Financial Analysis
Total Months,12
Total Periods (Month-Year),86
Total Revenue,55945323.0
Average Revenue Change,4392.2441860465115
Greatest Increase in Revenue,('Sep-14', 2214907.0)
Greatest Decrease in Revenue,('Aug-14', -2293129.0)
